<!System=OMS	Version=3.3	Code=UTF-8	Data=1.0!>
//超短期功率预测信息监测
<CDQYC::GX.FengPDC	Date='2025-12-01'	Time='00-15-00'>
@	时间顺序列	功率预测	当前正在运行的机组总容量	功率预测<可用>
#	1	0.0000	158.7200	0.0000
#	2	0.0000	158.7200	0.0000
#	3	0.7600	158.7200	0.7600
#	4	1.1800	158.7200	1.1800
#	5	1.4500	158.7200	1.4500
#	6	1.8700	158.7200	1.8700
#	7	2.9300	158.7200	2.9300
#	8	3.0700	158.7200	3.0700
#	9	3.1300	158.7200	3.1300
#	10	2.9000	158.7200	2.9000
#	11	2.7500	158.7200	2.7500
#	12	6.8400	158.7200	6.8400
#	13	9.4500	158.7200	9.4500
#	14	9.2000	158.7200	9.2000
#	15	8.9800	158.7200	8.9800
#	16	8.8200	158.7200	8.8200
</CDQYC::GX.FengPDC>
