<!System=OMS	Version=3.3	Code=UTF-8	Data=1.0!>
//短期功率预测信息监测
<DQYC::GX.FengPDC	Date='2025-12-20'	Time='00-15-00'>
@	时间顺序列	功率预测	计划开机容量	运行台数
#	1	39.7400	158.7200	62
#	2	39.6600	158.7200	62
#	3	39.6200	158.7200	62
#	4	39.6300	158.7200	62
#	5	39.4700	158.7200	62
#	6	39.3100	158.7200	62
#	7	39.1100	158.7200	62
#	8	38.6200	158.7200	62
#	9	37.8200	158.7200	62
#	10	37.0500	158.7200	62
#	11	36.4200	158.7200	62
#	12	35.7100	158.7200	62
#	13	34.9700	158.7200	62
#	14	34.2400	158.7200	62
#	15	33.3500	158.7200	62
#	16	32.3400	158.7200	62
#	17	31.4100	158.7200	62
#	18	30.7600	158.7200	62
#	19	30.4000	158.7200	62
#	20	30.0400	158.7200	62
#	21	29.4500	158.7200	62
#	22	28.9900	158.7200	62
#	23	28.5900	158.7200	62
#	24	28.1200	158.7200	62
#	25	27.5800	158.7200	62
#	26	27.0000	158.7200	62
#	27	26.4300	158.7200	62
#	28	25.7800	158.7200	62
#	29	25.0500	158.7200	62
#	30	24.2800	158.7200	62
#	31	23.5600	158.7200	62
#	32	22.5500	158.7200	62
#	33	21.3400	158.7200	62
#	34	20.1100	158.7200	62
#	35	18.8000	158.7200	62
#	36	17.4800	158.7200	62
#	37	15.9700	158.7200	62
#	38	14.4800	158.7200	62
#	39	13.0200	158.7200	62
#	40	11.5700	158.7200	62
#	41	10.1600	158.7200	62
#	42	8.9400	158.7200	62
#	43	7.8400	158.7200	62
#	44	6.7600	158.7200	62
#	45	5.8100	158.7200	62
#	46	4.9600	158.7200	62
#	47	4.1300	158.7200	62
#	48	3.3500	158.7200	62
#	49	2.6700	158.7200	62
#	50	1.9800	158.7200	62
#	51	1.4000	158.7200	62
#	52	0.8600	158.7200	62
#	53	0.3800	158.7200	62
#	54	0.0000	158.7200	62
#	55	0.0000	158.7200	62
#	56	0.0000	158.7200	62
#	57	0.0000	158.7200	62
#	58	0.0000	158.7200	62
#	59	0.0000	158.7200	62
#	60	0.0000	158.7200	62
#	61	0.0000	158.7200	62
#	62	0.0000	158.7200	62
#	63	0.0000	158.7200	62
#	64	0.0000	158.7200	62
#	65	0.0000	158.7200	62
#	66	0.1000	158.7200	62
#	67	0.2500	158.7200	62
#	68	0.4200	158.7200	62
#	69	0.6700	158.7200	62
#	70	1.1100	158.7200	62
#	71	2.0200	158.7200	62
#	72	3.1700	158.7200	62
#	73	4.3700	158.7200	62
#	74	5.9000	158.7200	62
#	75	7.5300	158.7200	62
#	76	9.2300	158.7200	62
#	77	10.9800	158.7200	62
#	78	12.8100	158.7200	62
#	79	14.6000	158.7200	62
#	80	16.1900	158.7200	62
#	81	17.2300	158.7200	62
#	82	17.9400	158.7200	62
#	83	18.6100	158.7200	62
#	84	19.0100	158.7200	62
#	85	19.3100	158.7200	62
#	86	19.6400	158.7200	62
#	87	20.0600	158.7200	62
#	88	20.3800	158.7200	62
#	89	20.6700	158.7200	62
#	90	20.8900	158.7200	62
#	91	21.0500	158.7200	62
#	92	21.2400	158.7200	62
#	93	21.2800	158.7200	62
#	94	20.9100	158.7200	62
#	95	20.6200	158.7200	62
#	96	20.2800	158.7200	62
#	97	19.7100	158.7200	62
#	98	18.9800	158.7200	62
#	99	18.1600	158.7200	62
#	100	17.4300	158.7200	62
#	101	16.9900	158.7200	62
#	102	16.6700	158.7200	62
#	103	16.6600	158.7200	62
#	104	17.1300	158.7200	62
#	105	17.6500	158.7200	62
#	106	18.7000	158.7200	62
#	107	20.2700	158.7200	62
#	108	22.2500	158.7200	62
#	109	24.4900	158.7200	62
#	110	27.1500	158.7200	62
#	111	29.8800	158.7200	62
#	112	32.9000	158.7200	62
#	113	35.9500	158.7200	62
#	114	39.0300	158.7200	62
#	115	42.0300	158.7200	62
#	116	44.7500	158.7200	62
#	117	47.4300	158.7200	62
#	118	50.2400	158.7200	62
#	119	52.9700	158.7200	62
#	120	55.3100	158.7200	62
#	121	57.5500	158.7200	62
#	122	59.4900	158.7200	62
#	123	61.1900	158.7200	62
#	124	62.7400	158.7200	62
#	125	64.2300	158.7200	62
#	126	65.4700	158.7200	62
#	127	66.2200	158.7200	62
#	128	66.4800	158.7200	62
#	129	66.4800	158.7200	62
#	130	66.2600	158.7200	62
#	131	65.6200	158.7200	62
#	132	64.5600	158.7200	62
#	133	63.2700	158.7200	62
#	134	61.5700	158.7200	62
#	135	59.4600	158.7200	62
#	136	56.9500	158.7200	62
#	137	53.9300	158.7200	62
#	138	50.7700	158.7200	62
#	139	47.5200	158.7200	62
#	140	44.0900	158.7200	62
#	141	40.6200	158.7200	62
#	142	37.1700	158.7200	62
#	143	33.8200	158.7200	62
#	144	30.4100	158.7200	62
#	145	27.2600	158.7200	62
#	146	24.4100	158.7200	62
#	147	22.0800	158.7200	62
#	148	19.8700	158.7200	62
#	149	17.8500	158.7200	62
#	150	16.2300	158.7200	62
#	151	14.8800	158.7200	62
#	152	13.9200	158.7200	62
#	153	13.1500	158.7200	62
#	154	12.9000	158.7200	62
#	155	12.8200	158.7200	62
#	156	12.8900	158.7200	62
#	157	13.1000	158.7200	62
#	158	13.5000	158.7200	62
#	159	13.9700	158.7200	62
#	160	14.4500	158.7200	62
#	161	14.9900	158.7200	62
#	162	15.5700	158.7200	62
#	163	16.2700	158.7200	62
#	164	17.1100	158.7200	62
#	165	18.0100	158.7200	62
#	166	19.0600	158.7200	62
#	167	20.3700	158.7200	62
#	168	22.0800	158.7200	62
#	169	24.1700	158.7200	62
#	170	26.3100	158.7200	62
#	171	28.6100	158.7200	62
#	172	30.9400	158.7200	62
#	173	32.9900	158.7200	62
#	174	34.7400	158.7200	62
#	175	36.3800	158.7200	62
#	176	37.7700	158.7200	62
#	177	38.7800	158.7200	62
#	178	39.2800	158.7200	62
#	179	38.9600	158.7200	62
#	180	38.3100	158.7200	62
#	181	37.4400	158.7200	62
#	182	36.4200	158.7200	62
#	183	35.4200	158.7200	62
#	184	34.3900	158.7200	62
#	185	33.2900	158.7200	62
#	186	32.1500	158.7200	62
#	187	31.0300	158.7200	62
#	188	29.8200	158.7200	62
#	189	28.9300	158.7200	62
#	190	28.0600	158.7200	62
#	191	27.1200	158.7200	62
#	192	25.9900	158.7200	62
#	193	19.8800	158.7200	62
#	194	19.0200	158.7200	62
#	195	18.2300	158.7200	62
#	196	17.4600	158.7200	62
#	197	16.6400	158.7200	62
#	198	15.9700	158.7200	62
#	199	15.2600	158.7200	62
#	200	14.6700	158.7200	62
#	201	14.1800	158.7200	62
#	202	13.8200	158.7200	62
#	203	13.5700	158.7200	62
#	204	13.4000	158.7200	62
#	205	13.1600	158.7200	62
#	206	13.0200	158.7200	62
#	207	12.8600	158.7200	62
#	208	12.7600	158.7200	62
#	209	12.8400	158.7200	62
#	210	12.9800	158.7200	62
#	211	13.1300	158.7200	62
#	212	13.3400	158.7200	62
#	213	13.6300	158.7200	62
#	214	13.9800	158.7200	62
#	215	14.5300	158.7200	62
#	216	15.1000	158.7200	62
#	217	15.8100	158.7200	62
#	218	16.5000	158.7200	62
#	219	17.1500	158.7200	62
#	220	17.8100	158.7200	62
#	221	18.3900	158.7200	62
#	222	18.8200	158.7200	62
#	223	19.0200	158.7200	62
#	224	18.9100	158.7200	62
#	225	18.5600	158.7200	62
#	226	18.0700	158.7200	62
#	227	17.3700	158.7200	62
#	228	16.4300	158.7200	62
#	229	15.4300	158.7200	62
#	230	14.2100	158.7200	62
#	231	13.0600	158.7200	62
#	232	12.0200	158.7200	62
#	233	11.0800	158.7200	62
#	234	10.3400	158.7200	62
#	235	9.6600	158.7200	62
#	236	9.0800	158.7200	62
#	237	8.5700	158.7200	62
#	238	8.2300	158.7200	62
#	239	7.9100	158.7200	62
#	240	7.8100	158.7200	62
#	241	7.7100	158.7200	62
#	242	7.6500	158.7200	62
#	243	7.5800	158.7200	62
#	244	7.5400	158.7200	62
#	245	7.5000	158.7200	62
#	246	7.4900	158.7200	62
#	247	7.5000	158.7200	62
#	248	7.4400	158.7200	62
#	249	7.3800	158.7200	62
#	250	7.2900	158.7200	62
#	251	7.2200	158.7200	62
#	252	7.1400	158.7200	62
#	253	7.0800	158.7200	62
#	254	7.0800	158.7200	62
#	255	7.1100	158.7200	62
#	256	7.1800	158.7200	62
#	257	7.3900	158.7200	62
#	258	7.8100	158.7200	62
#	259	8.3400	158.7200	62
#	260	9.0300	158.7200	62
#	261	10.1400	158.7200	62
#	262	11.4900	158.7200	62
#	263	13.0500	158.7200	62
#	264	14.7600	158.7200	62
