<!System=OMS	Version=3.3	Code=UTF-8	Data=1.0!>
//超短期功率预测信息监测
<CDQYC::GX.LiuHLDZ	Date='2025-12-23'	Time='00-30-00'>
@	时间顺序列	功率预测	当前正在运行的机组总容量	功率预测<可用>
#	1	0.0000	83.6000	0.0000
#	2	0.0000	83.6000	0.0000
#	3	0.0000	83.6000	0.0000
#	4	0.0000	83.6000	0.0000
#	5	0.0000	83.6000	0.0000
#	6	0.0000	83.6000	0.0000
#	7	0.0000	83.6000	0.0000
#	8	0.0000	83.6000	0.0000
#	9	0.0000	83.6000	0.0000
#	10	0.0000	83.6000	0.0000
#	11	0.0000	83.6000	0.0000
#	12	0.0000	83.6000	0.0000
#	13	0.0000	83.6000	0.0000
#	14	0.0000	83.6000	0.0000
#	15	0.0000	83.6000	0.0000
#	16	0.0000	83.6000	0.0000
</CDQYC::GX.LiuHLDZ>
