<!System=OMS	Version=3.3	Code=UTF-8	Data=1.0!>
//短期功率预测信息监测
<DQYC::GX.LiuHLDZ	Date='2025-12-14'	Time='00-15-00'>
@	时间顺序列	功率预测	计划开机容量	运行台数	
#	1	0.0000	83.6000	26	
#	2	0.0000	83.6000	26	
#	3	0.0000	83.6000	26	
#	4	0.0000	83.6000	26	
#	5	0.0000	83.6000	26	
#	6	0.0000	83.6000	26	
#	7	0.0000	83.6000	26	
#	8	0.0000	83.6000	26	
#	9	0.0000	83.6000	26	
#	10	0.0000	83.6000	26	
#	11	0.0000	83.6000	26	
#	12	0.0000	83.6000	26	
#	13	0.0000	83.6000	26	
#	14	0.0000	83.6000	26	
#	15	0.0000	83.6000	26	
#	16	0.0000	83.6000	26	
#	17	0.0000	83.6000	26	
#	18	0.0000	83.6000	26	
#	19	0.0000	83.6000	26	
#	20	0.0000	83.6000	26	
#	21	0.0000	83.6000	26	
#	22	0.0000	83.6000	26	
#	23	0.0000	83.6000	26	
#	24	0.0000	83.6000	26	
#	25	0.0000	83.6000	26	
#	26	0.0000	83.6000	26	
#	27	0.0000	83.6000	26	
#	28	0.0000	83.6000	26	
#	29	0.0000	83.6000	26	
#	30	0.1980	83.6000	26	
#	31	1.1970	83.6000	26	
#	32	2.7540	83.6000	26	
#	33	4.9500	83.6000	26	
#	34	7.3890	83.6000	26	
#	35	9.9630	83.6000	26	
#	36	13.4370	83.6000	26	
#	37	18.0990	83.6000	26	
#	38	24.1200	83.6000	26	
#	39	29.8620	83.6000	26	
#	40	34.8390	83.6000	26	
#	41	38.5380	83.6000	26	
#	42	41.9130	83.6000	26	
#	43	44.8380	83.6000	26	
#	44	47.7720	83.6000	26	
#	45	49.9410	83.6000	26	
#	46	51.9750	83.6000	26	
#	47	53.1900	83.6000	26	
#	48	54.5670	83.6000	26	
#	49	55.5390	83.6000	26	
#	50	56.4390	83.6000	26	
#	51	56.7360	83.6000	26	
#	52	56.4660	83.6000	26	
#	53	55.8360	83.6000	26	
#	54	55.1160	83.6000	26	
#	55	54.2700	83.6000	26	
#	56	53.3700	83.6000	26	
#	57	51.8400	83.6000	26	
#	58	49.9590	83.6000	26	
#	59	47.0790	83.6000	26	
#	60	43.9920	83.6000	26	
#	61	40.5090	83.6000	26	
#	62	36.7470	83.6000	26	
#	63	31.8600	83.6000	26	
#	64	26.0640	83.6000	26	
#	65	20.0520	83.6000	26	
#	66	15.0570	83.6000	26	
#	67	11.0880	83.6000	26	
#	68	7.9740	83.6000	26	
#	69	5.1840	83.6000	26	
#	70	2.9070	83.6000	26	
#	71	1.0170	83.6000	26	
#	72	0.0000	83.6000	26	
#	73	0.0000	83.6000	26	
#	74	0.0000	83.6000	26	
#	75	0.0000	83.6000	26	
#	76	0.0000	83.6000	26	
#	77	0.0000	83.6000	26	
#	78	0.0000	83.6000	26	
#	79	0.0000	83.6000	26	
#	80	0.0000	83.6000	26	
